Used mem 602358016    Refs removed from ref queue 500000   left 1000000
Used mem 602358032    Refs removed from ref queue 500000   left 1000000
Used mem 602358384    Refs removed from ref queue 500000   left 1000000
Used mem 602358504    Refs removed from ref queue 500000   left 1000000
Used mem 602358544    Refs removed from ref queue 500000   left 1000000
Used mem 602358552    Refs removed from ref queue 500000   left 1000000
Used mem 602358552    Refs removed from ref queue 500000   left 1000000
Used mem 602358560    Refs removed from ref queue 500000   left 1000000
Used mem 602358560    Refs removed from ref queue 500000   left 1000000
Used mem 602358560    Refs removed from ref queue 500000   left 1000000
Used mem 602358560    Refs removed from ref queue 500000   left 1000000
Used mem 602358560    Refs removed from ref queue 500000   left 1000000
Used mem 602358560    Refs removed from ref queue 500000   left 1000000
Used mem 602358704    Refs removed from ref queue 500000   left 1000000
Used mem 602358656    Refs removed from ref queue 500000   left 1000000
Used mem 602358560    Refs removed from ref queue 500000   left 1000000
Used mem 602358560    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358680    Refs removed from ref queue 500000   left 1000000
Used mem 602358584    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358512    Refs removed from ref queue 500000   left 1000000
Used mem 602358632    Refs removed from ref queue 500000   left 1000000
Total time of allocation loop153437
Used mem 82357656    Refs removed from ref queue 1000000   left 0

Process finished with exit code 0
